com.samsung.shealth.activity.day_summary,6100041,2
others_time,goal,longest_idle_time,create_time,distance,run_time,step_count,walk_time,day_time,target,deviceuuid,active_time,score,pkg_name,update_time,longest_active_time,datauuid,extra_data,calorie
0,60,29220000,2019-11-28 23:00:00.822,5536.039,333629,6127,3065811,1574985600000,,yFuc3cHWzI,3399440,93,com.sec.android.app.shealth,2019-11-29 20:09:29.128,776682,67cd7d6c-a56c-4359-bd5f-2378706d1938,67cd7d6c-a56c-4359-bd5f-2378706d1938.extra_data.json,282.92114,
0,-1,-1,2019-11-20 14:01:35.574,0.0,0,0,0,1573689600000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:35.574,0,36cbc690-d6f4-4b6f-834f-697bf6ed85c6,36cbc690-d6f4-4b6f-834f-697bf6ed85c6.extra_data.json,0.0,
0,60,33600000,2019-11-24 23:00:00.577,8489.04,121876,10106,5501839,1574640000000,,yFuc3cHWzI,5623715,155,com.sec.android.app.shealth,2019-11-25 20:50:15.749,1686621,06d4feb1-95e7-42f6-ac00-6dbc5bf3573a,06d4feb1-95e7-42f6-ac00-6dbc5bf3573a.extra_data.json,405.23892,
0,60,35280000,2019-11-29 23:00:00.528,1282.1812,52000,1481,901117,1575072000000,,yFuc3cHWzI,953117,25,com.sec.android.app.shealth,2019-11-30 20:26:09.835,60000,fe48f23c-d2f2-473d-a73d-ca8afff950ef,fe48f23c-d2f2-473d-a73d-ca8afff950ef.extra_data.json,65.121376,
0,60,31740000,2019-12-04 23:00:00.597,1389.7334,0,1716,904092,1575504000000,,yFuc3cHWzI,904092,25,com.sec.android.app.shealth,2019-12-05 21:09:02.570,480000,e4147672-4ea2-480b-8b94-13724a47f0f0,e4147672-4ea2-480b-8b94-13724a47f0f0.extra_data.json,60.76657,
0,-1,-1,2019-11-20 14:01:45.330,0.0,0,0,0,1573430400000,,yFuc3cHWzI,0,0,com.sec.android.app.shealth,2019-11-20 14:01:45.330,0,173f0023-5e1e-48c2-aa7e-99036b66bccc,173f0023-5e1e-48c2-aa7e-99036b66bccc.extra_data.json,0.0,
0,60,48300000,2019-12-05 23:00:00.502,6738.595,41980,8196,4345072,1575590400000,,yFuc3cHWzI,4387052,120,com.sec.android.app.shealth,2019-12-06 22:16:18.692,1572421,d110027a-473d-4aec-a116-60616361c5c5,d110027a-473d-4aec-a116-60616361c5c5.extra_data.json,310.60156,
0,60,35700000,2019-11-30 23:00:00.750,1441.2139,48000,1686,1025786,1575158400000,,yFuc3cHWzI,1073786,28,com.sec.android.app.shealth,2019-12-01 22:15:14.266,60000,ecea1f93-01d9-48e6-8ad1-91f3166a71ee,ecea1f93-01d9-48e6-8ad1-91f3166a71ee.extra_data.json,71.739365,
0,60,35160000,2019-11-25 23:00:02.934,6011.7856,46256,7459,4059064,1574726400000,,yFuc3cHWzI,4105320,111,com.sec.android.app.shealth,2019-11-26 23:00:01.393,1689269,efbdf36f-d4af-4e55-897c-db2f4eee38ad,efbdf36f-d4af-4e55-897c-db2f4eee38ad.extra_data.json,276.3063,
0,60,31080000,2019-12-11 23:00:00.391,5800.753,39529,7123,3940004,1576108800000,,yFuc3cHWzI,3979533,108,com.sec.android.app.shealth,2019-12-12 18:46:37.526,1695258,97e58c06-c0ee-4293-ad63-29cb35088f11,97e58c06-c0ee-4293-ad63-29cb35088f11.extra_data.json,266.26218,
