com.samsung.shealth.step_daily_trend,6100041,6
create_time,distance,count,source_type,day_time,speed,deviceuuid,pkg_name,update_time,binning_data,datauuid,calorie,source_pkg_name
2019-11-30 15:55:26.919,1282.1813,1481,0,1575072000000,6.9444447,yFuc3cHWzI,com.sec.android.app.shealth,2019-11-30 23:00:02.052,2df24287-3ce2-4ded-93c0-10fb82a020f3.binning_data.json,2df24287-3ce2-4ded-93c0-10fb82a020f3,65.12138,com.sec.android.app.shealth,
2019-12-02 23:00:02.087,7677.265,9130,0,1575244800000,5.558119,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-02 23:00:02.087,cff3f231-318c-4829-ab43-83737803dc79.binning_data.json,cff3f231-318c-4829-ab43-83737803dc79,365.87192,com.sec.android.app.shealth,
2019-12-07 08:00:43.250,2085.4424,2373,-2,1575676800000,1.8178219,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-07 18:39:49.606,3124f3b4-4cdf-4859-aa09-1622ceca52a7.binning_data.json,3124f3b4-4cdf-4859-aa09-1622ceca52a7,104.27643,com.sec.android.app.shealth,
2019-11-30 15:55:25.656,5542.3325,6753,-2,1574899200000,1.7114767,VfS0qUERdZ,com.sec.android.app.shealth,2019-11-30 15:55:25.656,0ddabab2-37b4-4014-affe-f8f3baf851b7.binning_data.json,0ddabab2-37b4-4014-affe-f8f3baf851b7,256.6412,com.sec.android.app.shealth,
2019-12-06 12:25:30.076,6667.956,8196,-2,1575590400000,1.7036142,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-06 22:08:12.193,6ba65a6e-94da-4a5e-8b4f-c4cf0c135475.binning_data.json,6ba65a6e-94da-4a5e-8b4f-c4cf0c135475,307.0631,com.sec.android.app.shealth,
2019-12-05 23:03:29.504,1389.7334,1716,0,1575504000000,3.0064573,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-05 23:03:29.504,a4a3d56f-a2ab-475f-a03b-252c15210508.binning_data.json,a4a3d56f-a2ab-475f-a03b-252c15210508,60.76657,com.sec.android.app.shealth,
2019-12-03 23:00:02.471,4391.8013,5337,0,1575331200000,5.854295,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-03 23:00:02.471,4c48af2b-0a94-4bb3-a758-7cc3bec3c935.binning_data.json,4c48af2b-0a94-4bb3-a758-7cc3bec3c935,203.22151,com.sec.android.app.shealth,
2019-12-09 09:28:05.907,5459.43,6810,-2,1575849600000,1.6595,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-09 19:48:34.653,ff7fb074-b958-4d20-af51-6ea26c5e4034.binning_data.json,ff7fb074-b958-4d20-af51-6ea26c5e4034,249.0111,com.sec.android.app.shealth,
2019-12-02 07:02:12.563,7677.265,9130,-2,1575244800000,1.8032036,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-02 19:09:50.606,e3443fd6-1bfc-4666-acbe-714bf145113c.binning_data.json,e3443fd6-1bfc-4666-acbe-714bf145113c,365.87192,com.sec.android.app.shealth,
2019-12-10 09:35:36.315,5207.152,6528,-2,1575936000000,1.6151583,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-10 17:50:54.702,5014b099-7059-406c-92ed-f93965519b95.binning_data.json,5014b099-7059-406c-92ed-f93965519b95,237.08458,com.sec.android.app.shealth,
2019-12-08 23:00:11.815,1870.9512,2312,0,1575763200000,3.23606,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-08 23:00:11.815,f29dd6e9-6591-401c-9858-c6e186517353.binning_data.json,f29dd6e9-6591-401c-9858-c6e186517353,87.11792,com.sec.android.app.shealth,
2019-12-12 07:39:12.349,5766.1035,7123,-2,1576108800000,1.6775217,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-12 18:42:02.050,3e0def4f-91a7-4450-8aef-1d2810f99cbe.binning_data.json,3e0def4f-91a7-4450-8aef-1d2810f99cbe,264.70523,com.sec.android.app.shealth,
2019-12-06 23:00:01.747,6667.956,8196,0,1575590400000,5.9246664,yFuc3cHWzI,com.sec.android.app.shealth,2019-12-06 23:00:01.747,31d4ef51-9dfb-44c0-bdaf-f3f6d32a0fdf.binning_data.json,31d4ef51-9dfb-44c0-bdaf-f3f6d32a0fdf,307.0631,com.sec.android.app.shealth,
2019-12-13 08:18:56.747,6060.826,7260,-2,1576195200000,1.7438377,VfS0qUERdZ,com.sec.android.app.shealth,2019-12-13 20:46:56.739,acab0549-520e-494a-b342-54492d070e3a.binning_data.json,acab0549-520e-494a-b342-54492d070e3a,288.86453,com.sec.android.app.shealth,
