com.samsung.shealth.tracker.pedometer_step_count,6100041,2
duration,run_step,version_code,walk_step,com.samsung.health.step_count.create_time,com.samsung.health.step_count.distance,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.custom,com.samsung.health.step_count.count,com.samsung.health.step_count.end_time,com.samsung.health.step_count.speed,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.start_time,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.update_time,com.samsung.health.step_count.datauuid,com.samsung.health.step_count.calorie,com.samsung.health.step_count.sample_position_type
20628,1,4,47,1629205568121,40.273438,UTC+0300,,48,1629205620000,1.9523505,yFuc3cHWzI,1629205560000,com.sec.android.app.shealth,1629205605480,65a32311-f71b-4994-9124-e8ea2cf0be7a,1.7383118,,
5405,0,4,13,1629222246465,10.301758,UTC+0300,,13,1629222300000,1.9056801,yFuc3cHWzI,1629222240000,com.sec.android.app.shealth,1629222247394,73b26dd8-988e-472f-988c-3fc5a3af35ca,0.45205688,,
8038,0,4,15,1629208140997,12.384277,UTC+0300,,15,1629208200000,1.5406151,yFuc3cHWzI,1629208140000,com.sec.android.app.shealth,1629208162712,f051bbbd-193b-4c7e-a198-cf7632530ef8,0.6364746,,
7546,0,4,13,1629280884052,15.439453,UTC+0300,,13,1629280920000,2.0458732,yFuc3cHWzI,1629280860000,com.sec.android.app.shealth,1629280884309,c6a1f197-7efb-4f19-abc1-e2eb61b2506e,0.95584106,,
14391,0,4,28,1629288649952,21.76123,UTC+0300,,28,1629288660000,1.5121028,yFuc3cHWzI,1629288600000,com.sec.android.app.shealth,1629288742055,b9945dad-d6c0-451d-9d51-02994127fb85,0.977417,,
36181,0,4,60,1629220208798,44.824707,UTC+0300,,60,1629220140000,1.2388844,yFuc3cHWzI,1629220080000,com.sec.android.app.shealth,1629220208798,b0b88f7f-5b87-426a-801e-9d24b1fd0687,2.125702,,
5748,0,4,16,1629234609731,13.699707,UTC+0300,,16,1629234660000,2.383104,yFuc3cHWzI,1629234600000,com.sec.android.app.shealth,1629234615523,8c4eb2fc-7017-4fa0-bde2-5ce52ac24413,0.5652466,,
9790,0,4,12,1629219570209,9.895508,UTC+0300,,12,1629219540000,1.0106903,yFuc3cHWzI,1629219480000,com.sec.android.app.shealth,1629219570209,d6e80ad3-a653-4332-9cc7-8fbba167480d,0.4105835,,
8326,0,4,23,1629289653555,18.976562,UTC+0300,,23,1629289620000,2.2790618,yFuc3cHWzI,1629289560000,com.sec.android.app.shealth,1629289653555,b589d960-d302-4dc8-ba56-bf81b0220fb9,0.8244324,,
3017,0,4,7,1629288742125,5.720215,UTC+0300,,7,1629288720000,1.8955498,yFuc3cHWzI,1629288660000,com.sec.android.app.shealth,1629288742125,d41a79da-c9dc-4a40-be14-dce87c99c2b3,0.24261475,,
