com.samsung.shealth.rewards,6100041,4
is_visible,create_time,time_offset,program_id,end_time,device_type,title,exercise_type,exercise_session_id,deviceuuid,start_time,pkg_name,update_time,number_of_streak,datauuid,extra_data,controller_id,source_pkg_name
1,2019-11-30 15:55:25.735,UTC+0200,,2019-11-27 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-27 23:00:00.000,com.sec.android.app.shealth,2019-12-03 23:00:02.264,,c4310ae9-5128-4cc3-a5f6-d39fa8633361,"{""mTarget"":6000,""mValue"":6753}",tracker.pedometer,,
0,2019-11-26 19:15:00.640,UTC+0200,,2019-11-26 19:15:00.612,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-11-26 19:15:00.612,com.sec.android.app.shealth,2019-12-02 18:49:29.152,,02634869-2385-423e-972f-4dc52582f2ce,"{""mIsCompleted"":false,""mValue"":67,""mValue2"":60}",goal.activity,,
1,2019-12-06 18:55:01.494,UTC+0200,,2019-12-05 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-05 23:00:00.000,com.sec.android.app.shealth,2019-12-11 23:00:01.569,,598f51cf-b168-4fdb-912f-722b639ed492,"{""mTarget"":6000,""mValue"":8196}",tracker.pedometer,,
0,2019-12-02 18:49:29.157,UTC+0200,,2019-12-02 18:49:29.129,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-02 18:49:29.129,com.sec.android.app.shealth,2019-12-04 15:35:01.323,,2637cca5-db56-41dd-9add-25fb6e7dd468,"{""mIsCompleted"":false,""mValue"":82,""mValue2"":60}",goal.activity,,
1,2019-11-30 15:55:26.023,UTC+0200,,2019-11-22 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-22 23:00:00.000,com.sec.android.app.shealth,2019-11-30 15:55:27.503,,f518dd25-0019-42be-872c-d68d782d83d1,"{""mTarget"":6000,""mValue"":10490}",tracker.pedometer,,
1,2019-12-04 15:35:00.617,UTC+0200,,2019-12-03 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-03 23:00:00.000,com.sec.android.app.shealth,2019-12-09 23:00:01.171,,95b894c3-4832-46bd-bd3f-251e6d351766,"{""mTarget"":6000,""mValue"":8318}",tracker.pedometer,,
1,2019-11-30 15:55:25.737,UTC+0200,,2019-11-28 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-28 23:00:00.000,com.sec.android.app.shealth,2019-12-04 23:00:01.726,,8e7864fd-d950-435d-ae29-3f6e1ce16d3b,"{""mTarget"":6000,""mValue"":6127}",tracker.pedometer,,
1,2019-11-30 15:55:26.033,UTC+0200,,2019-11-22 23:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,yFuc3cHWzI,2019-11-22 23:00:00.000,com.sec.android.app.shealth,2019-11-30 15:55:26.033,,64939d5a-5e1d-4124-be64-025fdf8b2c13,"{""mTarget"":-1,""mValue"":10490}",tracker.pedometer,,
0,2019-12-06 19:04:39.277,UTC+0200,,2019-12-06 19:04:39.265,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-06 19:04:39.265,com.sec.android.app.shealth,2019-12-09 17:45:08.119,,d4c55f9b-bec8-4f90-b230-4022c5b6e50b,"{""mIsCompleted"":false,""mValue"":72,""mValue2"":60}",goal.activity,,
1,2019-11-30 23:00:02.923,UTC+0200,,2019-11-24 23:00:00.000,100003,tracker_pedometer_reward_most_walking_day,,,yFuc3cHWzI,2019-11-24 23:00:00.000,com.sec.android.app.shealth,2019-11-30 23:00:02.923,,844ebd77-e7eb-49db-8646-0e6dbecaa20e,"{""mTarget"":-1,""mValue"":10106}",tracker.pedometer,,
1,2019-12-09 17:35:58.175,UTC+0200,,2019-12-08 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-08 23:00:00.000,com.sec.android.app.shealth,2019-12-14 23:00:03.334,,2fd3b41d-fd04-40b2-9482-ba0167c1a9ed,"{""mTarget"":6000,""mValue"":6810}",tracker.pedometer,,
1,2019-12-10 17:45:57.253,UTC+0200,,2019-12-09 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-09 23:00:00.000,com.sec.android.app.shealth,2019-12-15 23:00:02.729,,146e9532-ee67-4aff-ab66-1c86c3e4aa89,"{""mTarget"":6000,""mValue"":6528}",tracker.pedometer,,
1,2019-11-30 15:55:26.025,UTC+0200,,2019-11-24 23:00:00.000,100003,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-11-24 23:00:00.000,com.sec.android.app.shealth,2019-11-30 23:00:02.721,,42903a5e-550f-49ae-bc02-d49354d0d664,"{""mTarget"":6000,""mValue"":10106}",tracker.pedometer,,
1,2019-12-12 12:30:55.592,UTC+0200,,2019-12-11 23:00:00.000,10009,tracker_pedometer_reward_target_achieved,,,yFuc3cHWzI,2019-12-11 23:00:00.000,com.sec.android.app.shealth,2019-12-17 23:00:00.945,,8ee97082-ac03-4a87-81bb-ccf48433d6e0,"{""mTarget"":6000,""mValue"":7123}",tracker.pedometer,,
0,2019-12-04 15:35:01.327,UTC+0200,,2019-12-04 15:35:01.294,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-04 15:35:01.294,com.sec.android.app.shealth,2019-12-06 19:04:39.275,,a5af1a9d-9034-4398-bf77-4f3ac84eec48,"{""mIsCompleted"":true,""mValue"":77,""mValue2"":60}",goal.activity,,
0,2019-12-13 19:18:28.923,UTC+0200,,2019-12-13 19:18:28.875,,goal_activity_reward_goal_achieved,,,yFuc3cHWzI,2019-12-13 19:18:28.875,com.sec.android.app.shealth,2019-12-16 15:15:00.502,,1ac84f97-13c2-4aaa-a8c9-54222f183365,"{""mIsCompleted"":false,""mValue"":68,""mValue2"":60}",goal.activity,,
