com.samsung.shealth.insight.hourly_accumulated_active_time,6100041,1
active_time_11,active_time_10,active_time_13,active_time_12,active_time_15,active_time_14,active_time_17,active_time_16,active_time_8,active_time_7,active_time_6,active_time_5,active_time_4,active_time_3,day_time,active_time_2,active_time_1,deviceuuid,update_time,datauuid,active_time_22,active_time_21,active_time_24,active_time_23,create_time,active_time_20,pkg_name,active_time_9,active_time_19,active_time_18
114320,110318,2008386,897382,3349271,3233493,3922879,3870721,,,,,,,1574640000000,,,yFuc3cHWzI,2019-11-26 05:02:40.117,6e3f0cdf-60bf-4b38-abed-a1a4bae479c3,5623713,5619044,5623713,5623713,2019-11-26 05:02:40.117,4762879,com.sec.android.app.shealth,,3922879,3922879,
248324,,757709,266333,921124,815071,2764138,1620090,,,,,,,1577577600000,,,yFuc3cHWzI,2019-12-30 01:22:11.949,0ddab95a-b66e-4a04-9d5b-d6eb130b91ec,3988266,3918231,4046295,4036290,2019-12-30 01:22:11.949,3852332,com.sec.android.app.shealth,,3852332,3819117,
,,88972,64960,200492,120321,316550,245181,,,,,,,1576281600000,,,yFuc3cHWzI,2019-12-15 07:12:08.449,e4a980ae-890f-43e8-ba5f-99c4ff139ca7,590673,590673,604146,590673,2019-12-15 07:12:08.449,511569,com.sec.android.app.shealth,,511569,498896,
1453684,110055,1885469,1850118,1972176,1972176,1976178,1976178,,,,,,,1577145600000,,,yFuc3cHWzI,2019-12-25 01:23:08.317,c16d4939-6c16-4221-be90-b8c17d87fbcf,2381753,2381753,2719082,2689868,2019-12-25 01:23:08.317,2304381,com.sec.android.app.shealth,,2067690,2067690,
90045,90045,993833,90045,1396877,1267373,1920525,1778620,,,,,,,1574985600000,,,yFuc3cHWzI,2019-11-30 06:18:56.879,cf9b018f-838b-4cef-ba72-080ac67051c1,3399438,3394102,3399438,3399438,2019-11-30 06:18:56.879,3394102,com.sec.android.app.shealth,90045,2393141,1920525,
19743,19743,19743,19743,689533,19743,759429,689533,,,,,,,1575072000000,,,yFuc3cHWzI,2019-12-01 06:44:08.746,58ef570b-4162-4f16-b7b6-7d2097c0a7e0,953117,941780,953117,953117,2019-12-01 06:44:08.746,884286,com.sec.android.app.shealth,,884286,884286,
19343,,128595,34684,1775864,156742,1945280,1918467,,,,,,,1575849600000,,,yFuc3cHWzI,2019-12-10 06:11:38.842,a0b5f9bd-3e55-4e0f-b578-aaa7fd8bbce5,3674246,3674246,3674246,3674246,2019-12-10 06:11:38.842,3665575,com.sec.android.app.shealth,,3665575,2001037,
1284399,588305,1712380,1712380,1712380,1712380,1716382,1716382,,,,,,,1578700800000,,,yFuc3cHWzI,2020-01-12 01:25:13.240,a7fb9892-b5a9-4683-abd4-74910ab56740,1788950,1788950,1788950,1788950,2020-01-12 01:25:13.240,1761471,com.sec.android.app.shealth,,1761471,1761471,
821497,127257,1128257,1106913,1128257,1128257,1430520,1128257,,,,,,,1575676800000,,,yFuc3cHWzI,2019-12-08 06:36:44.205,0d18c334-cbc3-4fd3-b18b-556a1a358f3a,1465871,1465871,1465871,1465871,2019-12-08 06:36:44.205,1465871,com.sec.android.app.shealth,,1454532,1430520,
37614,29610,50287,37614,386853,94309,4769647,2716925,29610,29610,29610,29610,29610,29610,1577491200000,29610,29610,yFuc3cHWzI,2019-12-29 01:22:15.465,2ee8c797-3a68-49c9-9d0a-fbda06caf491,5130829,5130829,5154707,5130829,2019-12-29 01:22:15.465,5130829,com.sec.android.app.shealth,29610,5120824,4991861,
