com.samsung.shealth.calories_burned.details,6100041,1
extra_data,version,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.day_time,com.samsung.shealth.calories_burned.deviceuuid
965e5c6f-4dcb-464d-8472-e19cbb9bd970.extra_data.json,,0.0,0,com.sec.android.app.shealth,1574258497971,1574258497971,965e5c6f-4dcb-464d-8472-e19cbb9bd970,1610.3641,0.0,1573171200000,yFuc3cHWzI,
ca31c76e-9b6b-46fd-abd4-7284b16c8c4b.extra_data.json,,0.0,4105320,com.sec.android.app.shealth,1574809201584,1574722803071,ca31c76e-9b6b-46fd-abd4-7284b16c8c4b,1533.8472,276.30627,1574726400000,yFuc3cHWzI,
c9c1bf6b-6707-477e-8a99-5a2b790a22b0.extra_data.json,,0.0,256249,com.sec.android.app.shealth,1574636400829,1574550004885,c9c1bf6b-6707-477e-8a99-5a2b790a22b0,1605.588,19.455385,1574553600000,yFuc3cHWzI,
6b26fed6-ebed-4769-bf3c-c517af157be9.extra_data.json,,0.0,3399440,com.sec.android.app.shealth,1575068400827,1574982000915,6b26fed6-ebed-4769-bf3c-c517af157be9,1547.0037,282.92114,1574985600000,yFuc3cHWzI,
1112ef19-0f1f-4598-a734-8ed64ee7fee0.extra_data.json,,0.0,5623715,com.sec.android.app.shealth,1574722803352,1574636400677,1112ef19-0f1f-4598-a734-8ed64ee7fee0,1505.5466,405.23892,1574640000000,yFuc3cHWzI,
1e419e6c-65e6-4405-972e-bff484939e74.extra_data.json,,0.0,5023772,com.sec.android.app.shealth,1575327601536,1575241201314,1e419e6c-65e6-4405-972e-bff484939e74,1516.7285,367.14618,1575244800000,yFuc3cHWzI,
56c36de9-b345-431c-bdeb-166cc60dfa44.extra_data.json,,0.0,904092,com.sec.android.app.shealth,1577870375999,1575500400915,56c36de9-b345-431c-bdeb-166cc60dfa44,1587.8954,60.76657,1575504000000,yFuc3cHWzI,
0d203787-03aa-4bb4-8be7-9e3b0d69bee5.extra_data.json,,0.0,0,com.sec.android.app.shealth,1574258498166,1574258498166,0d203787-03aa-4bb4-8be7-9e3b0d69bee5,1610.3641,0.0,1573689600000,yFuc3cHWzI,
0a34d25f-8a18-4d8b-8395-dff5e8a76bf2.extra_data.json,,0.0,953117,com.sec.android.app.shealth,1575154801258,1575068400691,0a34d25f-8a18-4d8b-8395-dff5e8a76bf2,1592.5994,65.121376,1575072000000,yFuc3cHWzI,
411d56a0-fe1a-41a7-b953-6cf38a713ebc.extra_data.json,,0.0,1073786,com.sec.android.app.shealth,1575241201677,1575154800996,411d56a0-fe1a-41a7-b953-6cf38a713ebc,1590.3503,71.739365,1575158400000,yFuc3cHWzI,
329ffa4b-aa69-46a6-a9cf-5a86ac09a401.extra_data.json,,0.0,1342884,com.sec.android.app.shealth,1577870376286,1575759600721,329ffa4b-aa69-46a6-a9cf-5a86ac09a401,1579.746,87.11792,1575763200000,yFuc3cHWzI,
a1850313-0893-4cfd-b678-9fc5ed69b905.extra_data.json,,0.0,55347,com.sec.android.app.shealth,1577870376389,1576018800640,a1850313-0893-4cfd-b678-9fc5ed69b905,1603.659,7.8619566,1576022400000,yFuc3cHWzI,
32e074a2-cc80-4bf2-95f5-e65ea299b152.extra_data.json,,0.0,1465871,com.sec.android.app.shealth,1577870376192,1575673200996,32e074a2-cc80-4bf2-95f5-e65ea299b152,1577.4617,104.27643,1575676800000,yFuc3cHWzI,
60e7a620-85b0-4eb2-9cfe-43ce045043d9.extra_data.json,,0.0,3299547,com.sec.android.app.shealth,1574377202214,1574290801600,60e7a620-85b0-4eb2-9cfe-43ce045043d9,1548.8656,242.87527,1574294400000,yFuc3cHWzI,
