id,create_time,distance,step_count,day_time,speed,active_time,update_time,walk_step_count,calorie,run_step_count,healthy_step
46,2019-12-27 23:00:01.397,5913.8613,7412,1577404800000,6.9376626,3754676,2019-12-27 23:00:22.635,7249,275.31616,163,0
47,2019-12-23 14:04:45.483,2469.798,2891,1577059200000,1.7302425,1427428,2019-12-23 22:52:00.727,2621,119.786545,270,0
48,2019-12-26 23:00:01.335,1506.5732,1788,1577318400000,4.379055,832704,2019-12-26 23:00:01.335,1661,72.45355,127,0
49,2019-12-29 23:00:01.539,5420.873,6711,1577577600000,4.761734,3306085,2019-12-29 23:00:01.539,6544,248.88477,167,0
50,2019-12-26 11:09:17.243,1506.5732,1788,1577318400000,1.8092142,832722,2019-12-26 22:33:44.576,1661,72.45355,127,0
51,2020-01-01 23:00:00.974,483.5868,482,1577836800000,4.194136,218780,2020-01-01 23:00:00.974,405,26.384777,77,0
52,2019-12-24 08:45:56.799,3503.872,4339,1577145600000,1.5742112,2225795,2019-12-24 22:25:00.789,4205,163.52739,134,0
53,2020-01-04 23:00:01.302,2071.1897,2461,1578096000000,5.3011436,1113416,2020-01-04 23:00:01.302,2329,97.15396,132,0
54,2019-12-29 09:10:44.737,5420.873,6711,1577577600000,1.6396343,3306147,2019-12-29 22:44:05.445,6544,248.88477,167,0
55,2020-01-07 23:00:01.358,4164.3794,4869,1578355200000,4.774627,2186810,2020-01-07 23:00:01.358,4243,204.50829,626,0
56,2019-12-27 10:26:48.586,5913.8613,7412,1577404800000,1.5750469,3754720,2019-12-28 23:00:03.573,7249,275.31616,163,0
57,2020-01-10 23:00:01.176,81.03168,92,1578614400000,2.2139447,40610,2020-01-10 23:00:01.176,80,4.1935215,12,0
58,2019-12-31 23:02:07.696,483.5868,482,1577836800000,2.2102802,218789,2020-01-01 21:41:29.206,405,26.384777,77,0
59,2020-01-13 23:00:01.692,6054.047,6739,1578873600000,4.923475,3251707,2020-01-13 23:00:01.692,5064,323.35114,1675,0
60,2019-12-30 09:50:43.159,2614.6885,3049,1577664000000,1.9226484,1359941,2019-12-30 22:34:16.065,2821,123.95076,228,0
61,2019-12-30 23:00:01.578,2614.6885,3049,1577664000000,3.8288777,1359898,2019-12-30 23:00:01.578,2821,123.95076,228,0
62,2020-01-03 23:02:03.572,2071.1897,2461,1578096000000,1.8601553,1113449,2020-01-04 21:02:00.747,2329,97.15396,132,0
63,2020-01-02 23:00:01.441,347.4046,400,1577923200000,6.9444447,172308,2020-01-02 23:00:01.441,376,16.567564,24,0
64,2020-01-16 23:00:01.657,5219.134,5609,1579132800000,6.9444447,2499960,2020-01-16 23:00:01.657,3694,292.58206,1915,0
65,2020-01-02 13:02:20.184,347.4046,400,1577923200000,2.0160623,172318,2020-01-02 19:47:04.282,376,16.567564,24,0
66,2020-01-19 23:00:01.444,1813.5538,2162,1579392000000,3.3309543,1023631,2020-01-19 23:00:01.444,2011,86.842804,151,0
67,2020-01-07 08:33:00.297,4164.3794,4869,1578355200000,1.904286,2186845,2020-01-07 17:56:40.301,4243,204.50829,626,0
68,2020-01-22 23:00:02.802,5742.0435,7024,1579651200000,5.2083335,3386140,2020-01-22 23:00:02.802,6669,267.42908,355,0
69,2020-01-05 09:34:48.068,1239.8262,1500,1578182400000,1.7369436,713797,2020-01-05 22:50:20.869,1433,58.262466,67,0
70,2020-01-25 23:00:14.290,7202.1494,8575,1579910400000,5.163439,4216747,2020-01-25 23:00:14.290,7906,348.8508,669,0
71,2020-01-10 16:31:12.681,81.03168,92,1578614400000,1.9952852,40611,2020-01-10 16:48:49.470,80,4.1935215,12,0
72,2019-11-22 09:30:52.153,6867.6777,8420,1574380800000,1.671899,4107711,2019-11-22 19:44:44.590,8164,316.2991,256,0
73,2020-01-08 09:58:26.197,67.41356,71,1578441600000,1.9493616,34582,2020-01-08 17:10:39.463,71,3.2625766,0,0
74,2020-01-05 23:00:02.114,1239.8262,1500,1578182400000,4.80988,713777,2020-01-05 23:00:02.114,1433,58.262466,67,0
75,2020-01-08 23:00:03.455,67.41356,71,1578441600000,4.712017,34579,2020-01-08 23:00:03.455,71,3.2625766,0,0
