create_time,distance,achievement,step_count,recommendation,day_time,speed,deviceuuid,active_time,source_package_name,pkg_name,update_time,walk_step_count,binning_data,datauuid,calorie,run_step_count,source_info,healthy_step
2019-12-02 07:02:12.512,7677.265,5d37612a-5dbc-47a0-a524-57b0dd32ad2e.achievement.json,9130,6000,1575244800000,1.8032036,VfS0qUERdZ,4257569,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-02 19:09:50.363,8393,5d37612a-5dbc-47a0-a524-57b0dd32ad2e.binning_data.json,5d37612a-5dbc-47a0-a524-57b0dd32ad2e,365.87192,737,5d37612a-5dbc-47a0-a524-57b0dd32ad2e.source_info.json,0
2019-12-03 08:02:41.227,4391.8013,fe60ed57-d945-430d-a92e-415a59d2e4e1.achievement.json,5337,6000,1575331200000,1.7407869,VfS0qUERdZ,2522882,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-03 22:15:43.647,5068,fe60ed57-d945-430d-a92e-415a59d2e4e1.binning_data.json,fe60ed57-d945-430d-a92e-415a59d2e4e1,203.22151,269,fe60ed57-d945-430d-a92e-415a59d2e4e1.source_info.json,0
2019-12-05 23:03:29.449,1389.7334,994102af-5937-4bad-9f2b-bd4969e9d680.achievement.json,1716,6000,1575504000000,3.0064573,yFuc3cHWzI,784154,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-05 23:03:29.449,1716,994102af-5937-4bad-9f2b-bd4969e9d680.binning_data.json,994102af-5937-4bad-9f2b-bd4969e9d680,60.76657,0,,0
2019-12-05 07:49:47.662,1389.7334,e3a126e0-2a88-48ca-bde3-8343d7f9acb4.achievement.json,1716,6000,1575504000000,1.7722486,VfS0qUERdZ,784163,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-05 21:09:03.134,1716,e3a126e0-2a88-48ca-bde3-8343d7f9acb4.binning_data.json,e3a126e0-2a88-48ca-bde3-8343d7f9acb4,60.76657,0,e3a126e0-2a88-48ca-bde3-8343d7f9acb4.source_info.json,0
2019-12-06 12:25:30.045,6667.956,ed5f8b2f-371e-476b-bce4-1a599d2b8f04.achievement.json,8196,6000,1575590400000,1.7036142,VfS0qUERdZ,3914005,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-06 22:08:12.107,7889,ed5f8b2f-371e-476b-bce4-1a599d2b8f04.binning_data.json,ed5f8b2f-371e-476b-bce4-1a599d2b8f04,307.0631,307,ed5f8b2f-371e-476b-bce4-1a599d2b8f04.source_info.json,0
2019-12-08 23:00:01.637,1870.9512,cf2f2dc1-0770-4a2d-875a-5defadb8ba24.achievement.json,2312,6000,1575763200000,3.23606,yFuc3cHWzI,1153326,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-08 23:00:01.637,2209,cf2f2dc1-0770-4a2d-875a-5defadb8ba24.binning_data.json,cf2f2dc1-0770-4a2d-875a-5defadb8ba24,87.11792,103,,0
2019-11-21 06:35:11.118,5022.703,b0593828-cb94-4c62-9ee1-e51b99f20ea5.achievement.json,5928,6000,1574294400000,6.589802,yFuc3cHWzI,2866135,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-21 23:00:02.385,5472,b0593828-cb94-4c62-9ee1-e51b99f20ea5.binning_data.json,b0593828-cb94-4c62-9ee1-e51b99f20ea5,242.60503,456,,0
2019-12-08 09:12:52.010,1870.9512,84e3f1a2-fcb7-4aee-a161-55faf4cb8b63.achievement.json,2312,6000,1575763200000,1.6221879,VfS0qUERdZ,1153350,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-08 20:01:43.610,2209,84e3f1a2-fcb7-4aee-a161-55faf4cb8b63.binning_data.json,84e3f1a2-fcb7-4aee-a161-55faf4cb8b63,87.11792,103,84e3f1a2-fcb7-4aee-a161-55faf4cb8b63.source_info.json,0
2019-11-24 23:00:01.265,374.56305,de85f447-a034-4fa1-9350-e9907c91b48f.achievement.json,409,6000,1574553600000,2.978018,yFuc3cHWzI,184692,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-11-24 23:00:01.265,347,de85f447-a034-4fa1-9350-e9907c91b48f.binning_data.json,de85f447-a034-4fa1-9350-e9907c91b48f,19.455389,62,,0
2019-12-09 09:28:05.820,5459.43,859c551c-020c-432c-839b-7dd212d31168.achievement.json,6810,6000,1575849600000,1.6595,VfS0qUERdZ,3289803,com.sec.android.app.shealth,com.sec.android.app.shealth,2019-12-09 19:48:34.592,6698,859c551c-020c-432c-839b-7dd212d31168.binning_data.json,859c551c-020c-432c-839b-7dd212d31168,249.0111,112,859c551c-020c-432c-839b-7dd212d31168.source_info.json,0
